DATE,START_TIME,END_TIME
2024-02-29,15:41,16:26
2024-02-28,20:42,22:02
2024-02-28,12:05,13:21
2024-02-27,18:47,19:01
2024-02-27,10:59,11:58
2024-02-27,3:52,5:47
2024-02-26,18:35,19:26
2024-02-26,9:32,11:05
2024-02-25,13:06,15:00
2024-02-25,12:04,13:24
2024-02-24,11:18,13:02
2024-02-24,7:28,8:50
2024-02-23,16:17,16:32
2024-02-19,15:54,16:50
2024-02-19,10:10,11:19
2024-02-18,18:57,19:19
2024-02-18,11:25,11:37
2024-02-16,23:33,0:05
2024-02-16,7:32,9:24
2024-02-15,17:58,19:00
2024-02-15,8:07,8:08
2024-02-14,10:45,12:09
2024-02-14,9:24,11:15
2024-02-14,2:45,3:52
2024-02-14,2:06,2:47
2024-02-13,15:48,17:18
2024-02-12,23:27,0:18
2024-02-12,6:37,6:51
2024-02-12,6:10,7:19
2024-02-12,3:14,5:10
2024-02-11,19:13,19:41
2024-02-11,7:40,8:14
2024-02-10,18:27,20:00
2024-02-10,12:24,12:36
2024-02-09,23:37,1:18
2024-02-09,19:01,19:36
2024-02-07,1:21,2:14
2024-02-06,20:39,21:22
2024-02-06,11:57,12:19
2024-02-06,10:12,12:12
2024-02-06,9:12,10:08
2024-02-03,17:23,17:53
2024-02-03,8:54,10:13
2024-02-02,20:57,21:37
2024-02-02,16:32,16:57
2024-02-02,13:49,14:40
2024-02-01,12:11,13:12
2024-02-01,5:53,7:24
2024-01-31,14:04,14:18
2024-01-31,2:49,4:37
2024-01-30,19:40,20:21
2024-01-30,8:44,9:09
2024-01-30,8:32,9:54
2024-01-29,23:34,0:36
2024-01-29,4:32,4:56
2024-01-28,7:11,8:34
2024-01-28,3:47,5:23
2024-01-25,15:25,16:35
2024-01-23,5:57,6:06
2024-01-22,8:51,10:39
2024-01-21,8:15,9:28
2024-01-21,2:55,4:28
2024-01-20,18:53,20:49
2024-01-20,7:00,8:04
2024-01-19,1:06,1:21
2024-01-18,17:12,17:19
2024-01-18,16:15,16:19
2024-01-18,15:39,17:09
2024-01-17,4:42,5:25
2024-01-17,2:11,2:31
2024-01-16,18:11,19:59
2024-01-16,13:44,15:02
2024-01-16,10:32,12:18
2024-01-15,20:29,21:32
2024-01-14,20:25,21:41
2024-01-14,15:42,16:41
2024-01-13,22:46,23:06
2024-01-12,14:08,15:27
2024-01-11,17:17,17:28
2024-01-11,14:16,16:10
2024-01-11,3:00,3:57
2024-01-09,16:15,16:45
2024-01-09,13:45,14:49
2024-01-08,12:29,13:12
2024-01-07,14:06,14:27
2024-01-07,5:29,5:35
2024-01-06,6:01,6:12
2024-01-06,4:40,5:01
2024-01-05,12:41,14:25
2024-01-05,10:23,12:12
2024-01-05,6:26,8:08
2024-01-04,15:33,17:17
2024-01-04,2:10,2:33
2024-01-03,19:18,20:22
2024-01-03,14:23,15:56
2024-01-02,21:36,22:23
2024-01-02,14:49,15:01
2024-01-01,21:16,21:54
2024-01-01,14:14,15:00
2024-01-01,2:16,2:31
